Mes,COD_PROVINCIA_MAT,Biodiesel,Biometano,Butano,Diesel,Eléctrico,Etanol,Gas licuado petróleo,Gas natural comprimido,Gas natural licuado,Gasolina,Hidrógeno,Otros
1922-10,M,0,0,0,0,0,0,0,0,0,1,0,0
1925-04,M,0,0,0,0,0,0,0,0,0,1,0,0
1926-08,M,0,0,0,0,0,0,0,0,0,1,0,0
1927-02,PO,0,0,0,0,0,0,0,0,0,1,0,0
1929-08,PO,0,0,0,0,0,0,0,0,0,1,0,0
1930-07,CA,0,0,0,0,0,0,0,0,0,1,0,0
1930-08,C,0,0,0,0,0,0,0,0,0,1,0,0
1932-06,B,0,0,0,0,0,0,0,0,0,1,0,0
1933-05,PO,0,0,0,0,0,0,0,0,0,1,0,0
1934-07,M,0,0,0,0,0,0,0,0,0,1,0,0
1935-04,B,0,0,0,0,0,0,0,0,0,1,0,0
1935-07,B,0,0,0,0,0,0,0,0,0,1,0,0
1939-06,HU,0,0,0,0,0,0,0,0,0,1,0,0
1941-08,PO,0,0,0,0,0,0,0,0,0,1,0,0
1942-10,PO,0,0,0,0,0,0,0,0,0,1,0,0
1943-04,M,0,0,0,0,0,0,0,0,0,1,0,0
1948-07,PO,0,0,0,0,0,0,0,0,0,1,0,0
1948-11,PO,0,0,0,0,0,0,0,0,0,1,0,0
1949-05,C,0,0,0,0,0,0,0,0,0,1,0,0
1951-02,C,0,0,0,0,0,0,0,0,0,1,0,0
1951-04,B,0,0,0,0,0,0,0,0,0,1,0,0
1952-06,B,0,0,0,0,0,0,0,0,0,1,0,0
1952-06,M,0,0,0,0,0,0,0,0,0,1,0,0
1953-06,J,0,0,0,0,0,0,0,0,0,1,0,0
1953-08,C,0,0,0,0,0,0,0,0,0,1,0,0
1953-09,PO,0,0,0,0,0,0,0,0,0,1,0,0
1954-03,PO,0,0,0,0,0,0,0,0,0,1,0,0
1954-04,B,0,0,0,0,0,0,0,0,0,1,0,0
1954-05,C,0,0,0,0,0,0,0,0,0,1,0,0
1954-07,M,0,0,0,0,0,0,0,0,0,1,0,0
1954-08,J,0,0,0,0,0,0,0,0,0,1,0,0
1954-09,L,0,0,0,0,0,0,0,0,0,1,0,0
1954-09,M,0,0,0,0,0,0,0,0,0,1,0,0
1955-01,J,0,0,0,0,0,0,0,0,0,1,0,0
1955-01,PO,0,0,0,0,0,0,0,0,0,1,0,0
1955-04,SA,0,0,0,0,0,0,0,0,0,1,0,0
1955-05,SA,0,0,0,0,0,0,0,0,0,1,0,0
1955-06,B,0,0,0,0,0,0,0,0,0,1,0,0
1955-07,IB,0,0,0,0,0,0,0,0,0,1,0,0
1955-08,CA,0,0,0,0,0,0,0,0,0,1,0,0
1955-08,SA,0,0,0,0,0,0,0,0,0,1,0,0
1955-09,M,0,0,0,0,0,0,0,0,0,1,0,0
1955-10,SA,0,0,0,0,0,0,0,0,0,1,0,0
1955-11,V,0,0,0,0,0,0,0,0,0,1,0,0
1955-12,CA,0,0,0,0,0,0,0,0,0,1,0,0
1955-12,PO,0,0,0,0,0,0,0,0,0,1,0,0
1956-01,C,0,0,0,0,0,0,0,0,0,1,0,0
1956-01,CA,0,0,0,0,0,0,0,0,0,1,0,0
1956-03,B,0,0,0,0,0,0,0,0,0,1,0,0
1956-03,C,0,0,0,0,0,0,0,0,0,1,0,0
1956-04,C,0,0,0,0,0,0,0,0,0,3,0,0
1956-05,GR,0,0,0,0,0,0,0,0,0,1,0,0
1956-05,PO,0,0,0,0,0,0,0,0,0,1,0,0
1956-05,SO,0,0,0,0,0,0,0,0,0,1,0,0
1956-06,A,0,0,0,0,0,0,0,0,0,1,0,0
1956-06,C,0,0,0,0,0,0,0,0,0,1,0,0
1956-06,CA,0,0,0,0,0,0,0,0,0,1,0,0
1956-06,TF,0,0,0,0,0,0,0,0,0,1,0,0
1956-07,CA,0,0,0,0,0,0,0,0,0,1,0,0
1956-08,PO,0,0,0,0,0,0,0,0,0,1,0,0
1956-09,B,0,0,0,0,0,0,0,0,0,2,0,0
