ANO,MES,precio_gasolina_1000L,precio_gasolina_eur_litro
2015,1,1130.435,1.1304349999999999
2015,2,1187.365,1.187365
2015,3,1258.9099999999999,1.2589099999999998
2015,4,1285.6133333333335,1.2856133333333335
2015,5,1314.4275,1.3144275
2015,6,1326.976,1.3269760000000002
2015,7,1321.6725000000001,1.3216725
2015,8,1244.9479999999999,1.244948
2015,9,1185.4850000000001,1.1854850000000001
2015,10,1166.375,1.166375
2015,11,1163.812,1.1638119999999998
2015,12,1151.48,1.15148
2016,1,1117.2675,1.1172674999999999
2016,2,1081.4699999999998,1.0814699999999997
2016,3,1099.89,1.09989
2016,4,1140.9875,1.1409875
2016,5,1169.734,1.1697339999999998
2016,6,1185.3175,1.1853175
2016,7,1161.21,1.16121
2016,8,1137.93,1.13793
2016,9,1156.8874999999998,1.1568874999999998
2016,10,1180.732,1.180732
2016,11,1168.59,1.16859
2016,12,1201.0366666666669,1.2010366666666668
2017,1,1242.356,1.242356
2017,2,1250.3300000000002,1.2503300000000002
2017,3,1229.195,1.229195
2017,4,1236.53,1.23653
2017,5,1218.5980000000002,1.2185980000000003
2017,6,1189.2400000000002,1.1892400000000003
2017,7,1174.596,1.174596
2017,8,1189.9675,1.1899675
2017,9,1210.8225,1.2108225
2017,10,1206.224,1.206224
2017,11,1234.8174999999999,1.2348175
2017,12,1236.0133333333333,1.2360133333333334
2018,1,1251.31,1.25131
2018,2,1239.3825,1.2393824999999998
2018,3,1226.395,1.226395
2018,4,1265.5849999999998,1.2655849999999997
2018,5,1311.6149999999998,1.3116149999999998
2018,6,1329.66,1.32966
2018,7,1321.4360000000001,1.321436
2018,8,1327.32,1.3273199999999998
2018,9,1336.7424999999998,1.3367425
2018,10,1345.382,1.345382
2018,11,1304.685,1.3046849999999999
2018,12,1225.9166666666667,1.2259166666666668
2019,1,1202.8525,1.2028524999999999
2019,2,1236.4850000000001,1.236485
2019,3,1266.095,1.266095
2019,4,1320.5774999999999,1.3205775
2019,5,1356.44,1.35644
2019,6,1320.6375,1.3206375000000001
2019,7,1319.828,1.319828
2019,8,1318.7625000000003,1.3187625000000003
2019,9,1310.558,1.310558
2019,10,1305.23,1.3052300000000001
2019,11,1298.21,1.29821
2019,12,1304.5866666666666,1.3045866666666666
2020,1,1321.6,1.3215999999999999
2020,2,1300.7875,1.3007875
2020,3,1224.81,1.22481
2020,4,1106.4833333333333,1.1064833333333333
2020,5,1078.875,1.078875
2020,6,1118.502,1.1185019999999999
2020,7,1160.3775,1.1603775
2020,8,1164.54,1.16454
2020,9,1164.2624999999998,1.1642624999999998
2020,10,1160.1475,1.1601475
2020,11,1152.632,1.152632
2020,12,1176.96,1.17696
2021,1,1213.5066666666667,1.2135066666666667
2021,2,1246.2875,1.2462875
2021,3,1305.196,1.305196
2021,4,1320.5933333333335,1.3205933333333335
2021,5,1345.7940000000003,1.3457940000000004
2021,6,1370.8175,1.3708175
2021,7,1402.2575000000002,1.4022575000000002
2021,8,1416.7320000000002,1.416732
2021,9,1431.0724999999998,1.4310724999999997
2021,10,1473.8899999999999,1.47389
2021,11,1510.1779999999999,1.5101779999999998
2021,12,1481.3433333333332,1.4813433333333332
2022,1,1505.9940000000001,1.505994
2022,2,1583.71,1.58371
2022,3,1789.0175,1.7890175
2022,4,1806.9266666666665,1.8069266666666666
2022,5,1904.4240000000002,1.9044240000000001
2022,6,2108.9575,2.1089575
2022,7,2041.6149999999998,2.0416149999999997
2022,8,1828.408,1.8284079999999998
2022,9,1729.5349999999999,1.7295349999999998
2022,10,1733.4119999999998,1.7334119999999997
2022,11,1762.84,1.76284
2022,12,1621.5600000000002,1.6215600000000001
2023,1,1623.432,1.623432
2023,2,1639.4299999999998,1.63943
2023,3,1635.9,1.6359000000000001
2023,4,1641.1799999999998,1.6411799999999999
2023,5,1592.5679999999998,1.5925679999999998
2023,6,1594.355,1.594355
2023,7,1610.666,1.610666
2023,8,1700.7675,1.7007675
2023,9,1744.4425,1.7444425000000001
2023,10,1693.166,1.693166
2023,11,1612.9425,1.6129425000000002
2023,12,1549.7024999999999,1.5497025
