ANO,MES,precio_gasolina
2005,1,848.0459999999999
2005,2,882.3125
2005,3,902.5433333333334
2005,4,928.3475
2005,5,932.9219999999999
2005,6,955.8924999999999
2005,7,994.0574999999999
2005,8,1024.262
2005,9,1084.8925
2005,10,1053.39
2005,11,984.7175000000001
2005,12,971.7933333333334
2006,1,1000.9399999999999
2006,2,998.75
2006,3,1010.165
2006,4,1057.4466666666667
2006,5,1093.568
2006,6,1088.3175
2006,7,1123.054
2006,8,1112.1425
2006,9,1021.9075
2006,10,966.656
2006,11,955.0075
2006,12,962.7366666666667
2007,1,947.9075
2007,2,957.395
2007,3,1002.6125000000001
2007,4,1045.0
2007,5,1086.46
2007,6,1092.3000000000002
2007,7,1087.4420000000002
2007,8,1057.74
2007,9,1062.3825000000002
2007,10,1063.6699999999998
2007,11,1093.1200000000001
2007,12,1100.49
2008,1,1105.0324999999998
2008,2,1108.3899999999999
2008,3,1126.0175
2008,4,1141.1175
2008,5,1198.4650000000001
2008,6,1247.688
2008,7,1261.4725
2008,8,1197.6749999999997
2008,9,1173.842
2008,10,1083.0025
2008,11,952.5450000000001
2008,12,883.9466666666667
2009,1,866.195
2009,2,909.5150000000001
2009,3,914.208
2009,4,950.6
2009,5,977.52
2009,6,1057.8619999999999
2009,7,1049.325
2009,8,1087.9199999999998
2009,9,1051.4025000000001
2009,10,1047.5275
2009,11,1073.896
2009,12,1061.0
2010,1,1100.705
2010,2,1101.83
2010,3,1147.774
2010,4,1179.5166666666667
2010,5,1174.542
2010,6,1168.52
2010,7,1169.17
2010,8,1163.902
2010,9,1166.8075000000001
2010,10,1168.675
2010,11,1191.7525
2010,12,1235.83
2011,1,1267.444
2011,2,1283.905
2011,3,1320.4850000000001
2011,4,1351.57
2011,5,1349.4879999999998
2011,6,1317.9524999999999
2011,7,1338.8425
2011,8,1330.7275
2011,9,1348.1425
2011,10,1317.2220000000002
2011,11,1299.0825
2011,12,1291.5
2012,1,1366.5974999999999
2012,2,1404.5099999999998
2012,3,1461.0425
2012,4,1482.135
2012,5,1416.9925
2012,6,1371.1075
2012,7,1401.868
2012,8,1483.9550000000002
2012,9,1501.1475
2012,10,1455.81
2012,11,1372.6925
2012,12,1375.82
2013,1,1415.99
2013,2,1477.075
2013,3,1459.8525
2013,4,1411.4799999999998
2013,5,1412.825
2013,6,1429.0375
2013,7,1447.73
2013,8,1453.5475000000001
2013,9,1448.468
2013,10,1406.44
2013,11,1388.25
2013,12,1402.4433333333334
2014,1,1394.6575
2014,2,1393.46
2014,3,1398.208
2014,4,1412.5466666666664
2014,5,1420.9075
2014,6,1436.74
2014,7,1439.4650000000001
2014,8,1409.25
2014,9,1410.616
2014,10,1369.6074999999998
2014,11,1324.9325
2014,12,1255.03
2015,1,1130.435
2015,2,1187.365
2015,3,1258.9099999999999
2015,4,1285.6133333333335
2015,5,1314.4275
2015,6,1326.976
2015,7,1321.6725000000001
2015,8,1244.9479999999999
2015,9,1185.4850000000001
2015,10,1166.375
2015,11,1163.812
2015,12,1151.48
2016,1,1117.2675
2016,2,1081.4699999999998
2016,3,1099.89
2016,4,1140.9875
2016,5,1169.734
2016,6,1185.3175
2016,7,1161.21
2016,8,1137.93
2016,9,1156.8874999999998
2016,10,1180.732
2016,11,1168.59
2016,12,1201.0366666666669
2017,1,1242.356
2017,2,1250.3300000000002
2017,3,1229.195
2017,4,1236.53
2017,5,1218.5980000000002
2017,6,1189.2400000000002
2017,7,1174.596
2017,8,1189.9675
2017,9,1210.8225
2017,10,1206.224
2017,11,1234.8174999999999
2017,12,1236.0133333333333
2018,1,1251.31
2018,2,1239.3825
2018,3,1226.395
2018,4,1265.5849999999998
2018,5,1311.6149999999998
2018,6,1329.66
2018,7,1321.4360000000001
2018,8,1327.32
2018,9,1336.7424999999998
2018,10,1345.382
2018,11,1304.685
2018,12,1225.9166666666667
2019,1,1202.8525
2019,2,1236.4850000000001
2019,3,1266.095
2019,4,1320.5774999999999
2019,5,1356.44
2019,6,1320.6375
2019,7,1319.828
2019,8,1318.7625000000003
2019,9,1310.558
2019,10,1305.23
2019,11,1298.21
2019,12,1304.5866666666666
2020,1,1321.6
2020,2,1300.7875
2020,3,1224.81
2020,4,1106.4833333333333
2020,5,1078.875
2020,6,1118.502
2020,7,1160.3775
2020,8,1164.54
2020,9,1164.2624999999998
2020,10,1160.1475
2020,11,1152.632
2020,12,1176.96
2021,1,1213.5066666666667
2021,2,1246.2875
2021,3,1305.196
2021,4,1320.5933333333335
2021,5,1345.7940000000003
2021,6,1370.8175
2021,7,1402.2575000000002
2021,8,1416.7320000000002
2021,9,1431.0724999999998
2021,10,1473.8899999999999
2021,11,1510.1779999999999
2021,12,1481.3433333333332
2022,1,1505.9940000000001
2022,2,1583.71
2022,3,1789.0175
2022,4,1806.9266666666665
2022,5,1904.4240000000002
2022,6,2108.9575
2022,7,2041.6149999999998
2022,8,1828.408
2022,9,1729.5349999999999
2022,10,1733.4119999999998
2022,11,1762.84
2022,12,1621.5600000000002
2023,1,1623.432
2023,2,1639.4299999999998
2023,3,1635.9
2023,4,1641.1799999999998
2023,5,1592.5679999999998
2023,6,1594.355
2023,7,1610.666
2023,8,1700.7675
2023,9,1744.4425
2023,10,1693.166
2023,11,1612.9425
2023,12,1549.7024999999999
2024,1,1537.894
2024,2,1584.2150000000001
2024,3,1619.2199999999998
2024,4,1671.4900000000002
2024,5,1665.935
2024,6,1624.0275
2024,7,1620.324
2024,8,1585.4775
2024,9,1510.922
2024,10,1497.2749999999999
2024,11,1506.17
2024,12,1517.908
2025,1,1559.7749999999999
2025,2,1572.2325
2025,3,1527.2599999999998
2025,4,1490.7775000000001
2025,5,1458.5149999999999
2025,6,1473.8
